project_id,project_name,project_description,project_type,project_status,start_date,expected_completion_date,country,region,coordinates,total_investment_required,current_funding,funding_gap,expected_roi,payback_period,capital_expenditure,operational_expenditure,maintenance_costs,projected_revenue_5yr,projected_cashflow_5yr,financial_risk_score,market_volatility_index,currency_risk_exposure,carbon_reduction_tons,carbon_intensity,emission_savings_forecast,water_usage_reduction,energy_efficiency_score,renewable_energy_generation,biodiversity_impact_score,land_use_change,waste_reduction_tons,climate_risk_score,natural_disaster_risk,climate_adaptation_score,jobs_created,community_benefit_score,local_business_impact,healthcare_impact_score,education_impact_score,poverty_reduction_impact,community_engagement_level,indigenous_peoples_impact,stakeholder_satisfaction_score,compliance_score,transparency_index,corruption_risk_score,management_experience_score,track_record_score,regulatory_compliance_score,reporting_quality_score,monitoring_framework_score,audit_frequency,environmental_score,social_score,governance_score,overall_esg_score
PRJ001,Solar Farm Alpha,Large-scale solar power generation facility,Waste Management,In Progress,2025-12-16,2029-09-26,Brazil,Europe,"-43.9077, -165.4439",9246261.066473598,11281415.236890895,-2035154.1704172976,0.06923531021828416,6.346456231106183,1508554.2537284181,1227907.8143836209,776739.3908333961,2508116.551850704,25172191.892907023,0.44265157995208626,0.1659098917879921,0.6663349627364542,33130.409133656365,0.7936932857677776,2540.4680742838614,43183.056029647174,0.7172259222441357,92464.3330223596,0.5329610303939234,-670.3314777259982,7288.5963563112955,0.7334542715757063,0.5883493100454243,0.8245905629126504,116,0.7559732453625514,0.33992984692988076,0.2802662381700226,0.7029200895855876,0.5293531879333864,0.3288567863784526,0.15536245181839586,0.5022722965847317,0.9795373972820138,0.442526586018833,0.70446269842907,0.678652684445024,0.5982071692927494,0.7847217588817501,0.7519730675692547,0.5908670202902078,1,0.6594588526414188,0.6975389653501274,0.8586567877311214,0.7385515352408892
PRJ002,Wind Park Beta,Offshore wind farm development,Green Building,Proposed,2025-02-26,2027-10-01,USA,South America,"37.9193, -140.0793",11719446.759080442,12057586.115648175,-338139.356567733,0.23810465289792082,11.404293959673256,20160633.635190636,2546047.5614352864,819648.3602784708,63533652.66496634,62262306.28028156,0.6507999206122931,0.31798931657390594,0.6665509582751004,19884.434427312688,0.549493353715019,2746.7516078327867,23035.065339532022,0.6268410869365694,91911.57152786595,0.4376368474229698,-177.48976682926184,7595.103900220313,0.5719647177101089,0.6575302429717141,0.6091416329185266,840,0.6187594523841204,0.40575611856695615,0.3922854557392461,0.5745257124314374,0.3210382773981415,0.768908689050849,0.1914821102015019,0.7570320411118071,0.6712621285892717,0.45733583132849526,0.7460721622589395,0.830316008945367,0.7592137686397444,0.9437302412567514,0.855312001770152,0.607474593529153,2,0.42348298338752755,0.4257129067421252,0.4684093154594807,0.4392017351963779
PRJ003,Hydro Plant Gamma,Small-scale hydroelectric power plant,Conservation,Proposed,2025-12-10,2029-03-30,Brazil,North America,"-10.9194, -107.3811",28346998.098849718,2076639.8634879473,26270358.23536177,0.1295144042175045,13.159933706859672,7809850.20147609,2902820.5761249973,1696215.624416307,21038847.44418014,21094175.7706609,0.1465548764067549,0.785657370035056,0.6203193601330023,34399.0697796667,0.2908774878322722,15259.802684577415,40268.508593470935,0.7026010433907086,25299.016798924113,0.4595627549785434,555.2045674704511,3840.720437830286,0.48403677361478015,0.42154276556232073,0.8838662095620626,57,0.7323096368348789,0.48438196485833374,0.49024784064699034,0.5336336388884884,0.6107429287279,0.7967645323064952,0.331857479688174,0.6469907435654314,0.6136754915149936,0.8622417975892326,0.4259900856231693,0.6675348594668293,0.3617888875987893,0.7783607923916831,0.7123806355216256,0.7450121665371994,2,0.4831416843780397,0.6481831236006181,0.8751186769104012,0.6688144949630197
PRJ004,Waste Management Delta,Advanced waste processing and recycling facility,Green Building,In Progress,2025-04-06,2028-04-04,Brazil,Asia Pacific,"71.2374, -8.8667",20787972.381844,7708261.8931973865,13079710.488646612,0.15355027010549605,13.27589150253711,15165576.35564811,3865914.670100914,1863532.8278811222,8952209.865992911,72428635.44891696,0.8321709821011843,0.222731188922537,0.4818421584676068,17690.60390374776,0.6438758239201967,14065.724782472118,89297.79396890089,0.7857365126025053,69541.11231066476,0.516207057123161,-39.259836267290666,2486.739840063355,0.4364286229320601,0.6894639905130968,0.6611612373245761,582,0.3374048175067449,0.4130625819675829,0.780654014268917,0.7870077910918374,0.25272086674559413,0.7503011548591882,-0.13338088760918304,0.7773176459300584,0.7117984312102414,0.9008774090406422,0.4365858846623515,0.49223143570942807,0.5006176867862893,0.8604065481552533,0.5679329285749175,0.7193075118965426,1,0.7690168082131852,0.6984214244584446,0.6230028864789778,0.6968137063835359
PRJ005,Green Building Epsilon,LEED Platinum certified office complex,Green Building,In Progress,2025-09-25,2029-10-17,UK,South America,"11.3896, 70.3858",4179720.1083400967,5222118.796409804,-1042398.6880697077,0.2175420211814656,7.8540975254662815,29971484.50381724,313658.4815967254,187311.4551566106,40884815.066961065,34837621.95941591,0.45388178378488353,0.11201277128222517,0.5805695768094398,13774.031883559252,0.6919270083578997,5711.83342809361,15513.877347510523,0.8704869304553342,7543.454708976927,0.4559699177125576,970.5721013310088,2129.9487522145964,0.7277346111554477,0.6382424189207783,0.43430943954379236,346,0.388643455143736,0.5892937041749456,0.1703100996321151,0.3435542921046214,0.28329486406521226,0.7797222785517095,0.029025390924796335,0.45145801537207253,0.6439648082378631,0.4675459300151536,0.7429183074575109,0.5497979558832385,0.34530201828233353,0.9026574836789525,0.8125536657113299,0.5415300261581883,3,0.44139933396256326,0.5671219454084804,0.49256646441930985,0.5003625812634511
PRJ006,Forest Conservation Zeta,Protection of native forest and biodiversity,Infrastructure,Proposed,2025-02-08,2027-10-27,USA,South America,"-64.9203, 37.5903",13441855.28278289,16161225.24940797,-2719369.9666250795,0.18513802340785618,13.653241185131517,29060845.03068347,4973297.502906971,457391.4993499524,6975316.0418609,63309707.55088662,0.29182988732592263,0.6343550961027377,0.5063010054297891,25305.8352603769,0.29058892192318353,23681.76630060141,51819.290700546895,0.8835974265542859,16621.54319092529,0.5719445080972987,-246.52206012411852,2589.280151166805,0.6114890855793939,0.14636518449630612,0.7930743821066696,35,0.37987015715248695,0.4877492610525502,0.7446919093929147,0.8775958465529639,0.2016265396485978,0.7950796060156784,0.3428493106134089,0.6682406757422974,0.8074751315763272,0.5297483190272947,0.5109477568955971,0.5549684631343055,0.7519477324484706,0.9943643909777213,0.5815296060975452,0.43081386449645187,1,0.7015760547331942,0.7854561018729109,0.6709504736891791,0.7193275434317613
PRJ007,Smart Grid Eta,Smart grid infrastructure deployment,Conservation,Approved,2025-07-29,2028-12-24,Brazil,Europe,"7.1714, -106.8980",13096927.07909146,9670862.37169775,3426064.7073937096,0.19704322384815443,13.211141385210153,12875983.040613657,2402728.1185556203,1358729.8578068987,88888480.59716468,15384122.515620604,0.1750986320650334,0.6648390839355457,0.44402022500315996,34951.62757590503,0.4021831089410359,19641.753236544464,24089.579170028253,0.9113951759383465,21680.91065864912,0.31938957066579027,499.156599952144,2819.8447905564967,0.7440357340154895,0.1321028864832431,0.5070495766934321,813,0.7122993032419986,0.5505196908285016,0.14452279148558028,0.6976667351857238,0.2700176384850088,0.41184299207288644,0.2315281431364426,0.5894107827784578,0.9559262044214824,0.4910362807020094,0.12299266917040685,0.5986590577287989,0.46338111283217964,0.8015987010884897,0.4171140554102646,0.6870325006615977,3,0.5226745548406605,0.4532991265668859,0.8364729179382042,0.6041488664485836
PRJ008,Electric Bus Fleet Theta,Electric public transportation fleet,Conservation,Proposed,2025-03-26,2027-12-08,UK,Asia Pacific,"79.7136, 35.5916",35118909.36914963,19676751.24744944,15442158.121700194,0.09181432414754274,14.22761993065137,22067577.037752055,1469845.674804117,749361.2235275196,4706443.6436230615,31440188.974194214,0.2462927976858459,0.3424130247625806,0.17710021194034611,18068.49361820667,0.5274619788244508,3279.8827494274765,58549.23630545145,0.872105828471649,29449.39468394299,0.46785810430136743,-214.02110204228177,2151.553725179759,0.822520846941301,0.5345639790954639,0.5085715286896102,266,0.8066644035801773,0.6420934852369478,0.7738512282385454,0.33965484913682387,0.4838997206311354,0.44141504763899986,0.13281578591248427,0.6285001096408391,0.5695580970715309,0.5024764837217663,0.7389246240153903,0.6133944526683748,0.8384582458913306,0.9034250744812931,0.8153272532826249,0.5530223607319691,2,0.5946478070209883,0.4375688908679044,0.7661124432047806,0.5994430470312244
PRJ009,Biogas Plant Iota,Organic waste to energy conversion plant,Conservation,Proposed,2025-02-23,2029-06-01,UK,Asia Pacific,"35.0613, 136.9684",35901258.90629766,8277076.627668785,27624182.27862888,0.1582895947655132,12.424087813367322,20745511.812079392,4429120.709104669,545619.1156859905,58728759.759740755,52763903.59677234,0.8476911978717678,0.42527166905772806,0.5867225060416018,46895.75944092966,0.4972489525464622,23307.763089338667,86450.71367691139,0.8405197135484546,99583.13750293707,0.5467240325233118,658.3284414130287,8794.384608044003,0.5938109696778336,0.34318938575779,0.3190828088910991,17,0.7497697392051526,0.5346453595702625,0.1413083822996103,0.7153730285889417,0.5636611286335033,0.6802551382321064,0.5305491368093014,0.7019789360362563,0.5503973015079433,0.8606199339513706,0.27375850993000633,0.7998910110371347,0.6159470799955763,0.9813246592774374,0.5725960724406378,0.37936572667519824,3,0.54434686838535,0.7640943781018017,0.8032805739307249,0.7039072734726256
PRJ010,Ocean Cleanup Kappa,Ocean plastic waste collection system,Green Building,In Progress,2025-12-30,2029-12-16,USA,North America,"22.3837, -73.5719",8256259.567716595,16420421.527777987,-8164161.960061392,0.18915687986901647,11.027859056570744,25744238.6328871,3763821.9920973284,625816.6474169305,44970464.05577252,11238128.8389173,0.6106164750746803,0.5548415778499344,0.5923836854463732,2920.130007106666,0.41169446897536277,24369.08110909305,88155.63689520326,0.618753235646235,69692.50558638148,0.6616691292139791,138.1629383314953,7594.291408505064,0.8843701800739023,0.24639155375495994,0.6292291855244452,634,0.3182832916401565,0.5519212607964555,0.11459398514268884,0.5708880162267816,0.6765736699798776,0.8447196782775097,0.4937176074033384,0.6511441737312651,0.628007765926831,0.5826805269602164,0.504342367864083,0.5746934995246665,0.7804498628916727,0.9722048627886367,0.7869172616006701,0.8403433807418315,2,0.5778363582324746,0.6477456581030993,0.7293916833553586,0.6516578998969775
